,Model,rating,user,time_of_review,review,title,user_address,user_type
159,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Mega  Nathan ,2months ago,Nice Mobile,Awesome,Vazhapadi,Certified Buyer
160,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Guru basra,2months ago,100% original product😍,Brilliant,Patiala,Certified Buyer
161,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Satish Reddy,2months ago,Super mobile excellent product,Must buy!,Ysr District,Certified Buyer
162,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,3,Dharmesh  M P,2months ago,mobile is good,Fair,Bengaluru,Certified Buyer
163,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Gurudatta Kulkarni,2months ago,obile is looks like apple phone..full screen display and high touch performance,Worth every penny,Solapur,Certified Buyer
164,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Arun Kumar,2months ago,Nice good mobile from samsung,Worth the money,Hyderabad,Certified Buyer
165,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Rubitaz Mamta,2months ago,wesome,Good choice,Kamrup District,Certified Buyer
166,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Bhasam Udhaybhaskar,2months ago,Best mobile,Highly recommended,Sri Potti Sriramulu Nellore District,Certified Buyer
167,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,Anand Pandey,2months ago,wesome,Simply awesome,Maharajganj,Certified Buyer
168,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,4,Rishika   Rajan,2months ago,the product is awsm...I loved it's function,Very Good,Pilibhit,Certified Buyer
169,Samsung Galaxy M30s Blue 128 Gb Reviews: Latest Review of Samsung Galaxy M30s Blue 128 Gb | Price in India | Flipkart.com,5,BINU VARUGHESE,2months ago,Very good,Highly recommended,Pathanamthitta District,Certified Buyer
